head,relation,tail,trigger,source,score,chapter,sentence
单翼构型,transforms_to,双翼构型,转变为,trigger+pattern+pattern,0.940,第4章单-双折叠翼变体飞行器的气动特性研究,同时，飞机从单翼构型转变为双翼构型后，诱导阻力也将大幅上升。
10自由度动力学模型,instance_of,概念,type_taxonomy,type,0.920,,
1倍弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
45%弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
ACADO,instance_of,技术,type_taxonomy,type,0.920,,
Aquila,instance_of,飞行器,type_taxonomy,type,0.920,,
B-1,instance_of,飞行器,type_taxonomy,type,0.920,,
Boeing106,instance_of,飞行器,type_taxonomy,type,0.920,,
CFD,instance_of,技术,type_taxonomy,type,0.920,,
CFD计算,instance_of,技术,type_taxonomy,type,0.920,,
DARPA,instance_of,组织机构,type_taxonomy,type,0.920,,
F-111,instance_of,飞行器,type_taxonomy,type,0.920,,
F-14,instance_of,飞行器,type_taxonomy,type,0.920,,
Facebook公司,instance_of,组织机构,type_taxonomy,type,0.920,,
GPS,instance_of,结构部件,type_taxonomy,type,0.920,,
Laitone,instance_of,人物,type_taxonomy,type,0.920,,
MQ-9,instance_of,飞行器,type_taxonomy,type,0.920,,
NACA0012,instance_of,机翼构型,type_taxonomy,type,0.920,,
NACA2412,instance_of,机翼构型,type_taxonomy,type,0.920,,
NASA,instance_of,组织机构,type_taxonomy,type,0.920,,
NextGenAeronautics,instance_of,组织机构,type_taxonomy,type,0.920,,
RANS方法,instance_of,技术,type_taxonomy,type,0.920,,
RQ-4,instance_of,飞行器,type_taxonomy,type,0.920,,
RQ-4A,instance_of,飞行器,type_taxonomy,type,0.920,,
RX-1E电动飞机,instance_of,飞行器,type_taxonomy,type,0.920,,
SST湍流模型,instance_of,技术,type_taxonomy,type,0.920,,
Tu-160,instance_of,飞行器,type_taxonomy,type,0.920,,
U-2,instance_of,飞行器,type_taxonomy,type,0.920,,
U型槽,instance_of,结构部件,type_taxonomy,type,0.920,,
V型尾翼,instance_of,结构部件,type_taxonomy,type,0.920,,
XB-70,instance_of,飞行器,type_taxonomy,type,0.920,,
Z型折叠翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
Z字形折叠翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
三角翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
三部分解耦控制,instance_of,控制方法,type_taxonomy,type,0.920,,
上下双翼式布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
上下机翼,instance_of,概念,type_taxonomy,type,0.920,,
上下机翼相互干扰,instance_of,气动概念,type_taxonomy,type,0.920,,
上下机翼间,instance_of,概念,type_taxonomy,type,0.920,,
上下机翼间距,instance_of,设计参数,type_taxonomy,type,0.920,,
上下间距,instance_of,设计参数,type_taxonomy,type,0.920,,
上反角,instance_of,设计参数,type_taxonomy,type,0.920,,
上机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
上机翼弯度小于下机翼,instance_of,设计参数,type_taxonomy,type,0.920,,
上翼,instance_of,结构部件,type_taxonomy,type,0.920,,
下单翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
下机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
下机翼上表面,instance_of,概念,type_taxonomy,type,0.920,,
下机翼前方,instance_of,概念,type_taxonomy,type,0.920,,
下机翼后方,instance_of,概念,type_taxonomy,type,0.920,,
下机翼斜前方,instance_of,概念,type_taxonomy,type,0.920,,
下机翼斜后方,instance_of,概念,type_taxonomy,type,0.920,,
下机翼正上方,instance_of,概念,type_taxonomy,type,0.920,,
下翼,instance_of,结构部件,type_taxonomy,type,0.920,,
中国航空工业集团公司第一飞机设计研究院,instance_of,组织机构,type_taxonomy,type,0.920,,
中机身,instance_of,结构部件,type_taxonomy,type,0.920,,
串列双翼布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
主梁,instance_of,结构部件,type_taxonomy,type,0.920,,
主油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
二维双翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
伸缩翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
伸缩蒙皮,instance_of,技术,type_taxonomy,type,0.920,,
低压区,instance_of,气动概念,type_taxonomy,type,0.920,,
低速性能,instance_of,性能指标,type_taxonomy,type,0.920,,
作动器直接驱动,instance_of,控制方法,type_taxonomy,type,0.920,,
使用过载,instance_of,设计参数,type_taxonomy,type,0.920,,
俯仰力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
俯仰力矩变化,instance_of,气动概念,type_taxonomy,type,0.920,,
俯仰力矩系数,instance_of,设计参数,type_taxonomy,type,0.920,,
俯仰扰动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
偏航力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
偏航扰动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
停放,instance_of,飞行阶段,type_taxonomy,type,0.920,,
