head,relation,tail,trigger,source,score,chapter,sentence
单翼构型,transforms_to,双翼构型,变体为,trigger+pattern+pattern,0.940,第4章单-双折叠翼变体飞行器的气动特性研究,对于单-双折叠翼变体飞行器来说，在由单翼构型变体为双翼构型后，除了因上下机翼的相互干扰损失一部分升力外，还会因为展弦比的降低损失一部分升力，前者在升力损失中占主要部分，后者在升力损失中占次要部分；
单翼状态,transforms_to,双翼状态,变体为,trigger+pattern+pattern,0.940,第3章单-双折叠翼变体飞行器概念的发展和完善,当飞机准备从单翼状态变体为双翼状态时，活动机翼的副翼将适当上偏，使活动机翼的升力降低至与其自身重力相当，此后使活动机翼解除与固定机翼的锁定；
ACADO,instance_of,技术,type_taxonomy,type,0.920,,
Aquila,instance_of,飞行器,type_taxonomy,type,0.920,,
B-1,instance_of,飞行器,type_taxonomy,type,0.920,,
DARPA,instance_of,组织机构,type_taxonomy,type,0.920,,
F-111,instance_of,飞行器,type_taxonomy,type,0.920,,
F-14,instance_of,飞行器,type_taxonomy,type,0.920,,
Facebook公司,instance_of,组织机构,type_taxonomy,type,0.920,,
GPS,instance_of,结构部件,type_taxonomy,type,0.920,,
MQ-9,instance_of,飞行器,type_taxonomy,type,0.920,,
NACA0012,instance_of,机翼构型,type_taxonomy,type,0.920,,
NACA2412,instance_of,机翼构型,type_taxonomy,type,0.920,,
NASA,instance_of,组织机构,type_taxonomy,type,0.920,,
RANS方法,instance_of,技术,type_taxonomy,type,0.920,,
RQ-4,instance_of,飞行器,type_taxonomy,type,0.920,,
RQ-4A,instance_of,飞行器,type_taxonomy,type,0.920,,
RX-1E电动飞机,instance_of,飞行器,type_taxonomy,type,0.920,,
SST湍流模型,instance_of,技术,type_taxonomy,type,0.920,,
Tu-160,instance_of,飞行器,type_taxonomy,type,0.920,,
U-2,instance_of,飞行器,type_taxonomy,type,0.920,,
U型槽,instance_of,结构部件,type_taxonomy,type,0.920,,
V型尾翼,instance_of,结构部件,type_taxonomy,type,0.920,,
XB-70,instance_of,飞行器,type_taxonomy,type,0.920,,
Z型折叠翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
Z字形折叠翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
三角翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
三部分解耦控制,instance_of,控制方法,type_taxonomy,type,0.920,,
上下双翼式布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
上下机翼间距,instance_of,设计参数,type_taxonomy,type,0.920,,
上下间距,instance_of,设计参数,type_taxonomy,type,0.920,,
上反角,instance_of,设计参数,type_taxonomy,type,0.920,,
上机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
下单翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
下机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
下降,instance_of,飞行阶段,type_taxonomy,type,0.920,,
中国航空工业集团公司第一飞机设计研究院,instance_of,组织机构,type_taxonomy,type,0.920,,
中机身,instance_of,结构部件,type_taxonomy,type,0.920,,
主梁,instance_of,结构部件,type_taxonomy,type,0.920,,
主油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
伸缩翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
伸缩蒙皮,instance_of,技术,type_taxonomy,type,0.920,,
低压区,instance_of,气动概念,type_taxonomy,type,0.920,,
低速性能,instance_of,性能指标,type_taxonomy,type,0.920,,
作动器直接驱动,instance_of,控制方法,type_taxonomy,type,0.920,,
使用过载,instance_of,设计参数,type_taxonomy,type,0.920,,
俯仰力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
俯仰力矩系数,instance_of,设计参数,type_taxonomy,type,0.920,,
俯仰扰动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
偏航力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
偏航扰动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
停放,instance_of,飞行阶段,type_taxonomy,type,0.920,,
充气式伸缩翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
全球鹰,instance_of,飞行器,type_taxonomy,type,0.920,,
公转角,instance_of,设计参数,type_taxonomy,type,0.920,,
公转角度,instance_of,设计参数,type_taxonomy,type,0.920,,
公转速度,instance_of,设计参数,type_taxonomy,type,0.920,,
内副翼,instance_of,结构部件,type_taxonomy,type,0.920,,
分布涡,instance_of,气动概念,type_taxonomy,type,0.920,,
刚度,instance_of,设计参数,type_taxonomy,type,0.920,,
前后间距,instance_of,设计参数,type_taxonomy,type,0.920,,
前线机场,instance_of,概念,type_taxonomy,type,0.920,,
前缘,instance_of,气动概念,type_taxonomy,type,0.920,,
副油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
副翼,instance_of,结构部件,type_taxonomy,type,0.920,,
副翼上偏,instance_of,控制方法,type_taxonomy,type,0.920,,
副翼作动器,instance_of,结构部件,type_taxonomy,type,0.920,,
副翼偏角,instance_of,设计参数,type_taxonomy,type,0.920,,
副翼偏转,instance_of,控制方法,type_taxonomy,type,0.920,,
副翼偏转角度,instance_of,设计参数,type_taxonomy,type,0.920,,
副翼差动,instance_of,控制方法,type_taxonomy,type,0.920,,
副翼弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
副翼面积,instance_of,设计参数,type_taxonomy,type,0.920,,
功重比,instance_of,设计参数,type_taxonomy,type,0.920,,
加速度传感器,instance_of,结构部件,type_taxonomy,type,0.920,,
动力学方程,instance_of,公式,type_taxonomy,type,0.920,,
动力学模型,instance_of,概念,type_taxonomy,type,0.920,,
动压,instance_of,设计参数,type_taxonomy,type,0.920,,
动稳定性,instance_of,性能指标,type_taxonomy,type,0.920,,
升力,instance_of,气动概念,type_taxonomy,type,0.920,,
升力中心,instance_of,气动概念,type_taxonomy,type,0.920,,
升力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
升力线斜率,instance_of,设计参数,type_taxonomy,type,0.920,,
